ID,Time,Pickup,Dropoff,Duration,Fare
R45,0,8,8,4,8.25
R204,0,4,4,3,5.25
R105,0,34,32,13,20.4
R108,0,32,8,5,10.75
R35,0,8,8,6,9.75
R158,0,32,24,8,12.35
R68,0,8,7,2,6.75
R136,1,76,32,27,58.9
R100,1,32,2,28,30.5
R16,1,8,6,12,17.5
R34,1,32,28,13,14.5
R62,1,11,76,977,7.0
R63,1,2,4,7,7.75
R162,1,28,6,20,20.0
R141,1,8,32,2,5.5
R157,1,6,6,7,6.5
R28,1,76,77,30,54.75
R109,1,8,8,6,8.75
R96,1,8,8,7,6.75
R66,1,8,5,17,27.1
R140,1,32,24,8,11.75
R134,2,33,32,4,7.8
R137,2,8,32,6,9.0
R60,2,32,24,7,11.0
R117,2,76,32,27,60.4
R114,2,6,77,8,11.25
R90,2,32,8,7,11.0
R91,2,76,24,21,52.0
R111,2,7,8,10,11.5
R55,2,32,22,10,16.65
R31,2,76,3,27,46.9
R102,2,14,15,17,13.0
R183,2,32,6,13,20.75
R186,2,28,33,9,14.4
R188,2,8,28,13,10.25
R179,2,76,4,26,40.0
R121,3,7,6,7,10.25
R67,3,22,2,23,20.51
R130,3,16,28,26,22.71
R175,3,32,8,9,12.25
R71,3,76,76,123,111.5
R76,3,8,8,5,7.0
R127,3,7,76,59,38.5
R84,3,8,22,15,21.0
R58,3,32,24,9,10.5
R173,3,28,22,20,45.6
R169,3,32,32,13,22.5
R40,3,8,8,5,11.0
R39,3,32,32,3,8.25
R192,3,2,2,1,3.25
R8,3,76,8,28,59.4
R196,4,76,8,22,43.75
R87,4,8,7,12,13.6
R77,4,8,21,10,17.0
R115,4,8,8,5,6.5
R75,4,8,32,8,9.25
R73,4,8,33,17,18.7
R97,4,76,16,14,26.5
R119,4,8,24,4,5.5
R6,4,8,8,7,7.0
R32,4,76,28,25,57.7
R148,4,28,33,11,9.75
R168,4,15,58,29,39.5
R164,4,8,6,17,19.25
R165,4,28,32,7,10.75
R150,4,28,28,3,4.75
R174,4,7,40,18,30.25
R153,4,32,32,3,10.0
R46,5,8,24,10,12.7
R124,5,56,33,18,34.0
R17,5,22,8,12,15.5
R80,5,8,8,3,7.25
R146,5,6,6,31,13.75
R142,5,7,7,4,7.5
R22,5,76,6,47,53.5
R170,5,32,8,4,9.5
R176,5,6,6,12,15.0
R177,5,76,28,21,44.75
R200,5,8,32,10,12.35
R65,5,32,32,5,9.75
R36,6,32,7,21,45.75
R4,6,56,6,26,54.0
R98,6,28,28,7,8.0
R26,6,8,8,8,7.75
R203,6,8,32,6,7.25
R110,6,6,7,36,25.0
R172,6,8,8,7,10.75
R125,6,32,33,7,10.5
R47,6,8,8,12,11.0
R126,6,76,22,21,39.0
R151,6,8,8,5,8.75
R74,6,32,8,5,6.75
R70,6,32,24,9,12.0
R20,6,8,32,3,4.75
R30,6,76,32,22,47.25
R132,6,56,8,26,48.44
R181,6,8,8,5,8.0
R180,6,8,8,7,10.5
R154,6,8,8,5,8.75
R194,7,6,6,10,8.75
R128,7,8,8,6,10.25
R135,7,8,7,12,15.0
R0,7,24,8,13,16.3
R43,7,24,24,3,4.0
R21,7,28,8,16,11.5
R18,7,28,28,2,5.0
R9,7,32,8,6,8.0
R89,7,8,8,4,9.25
R7,7,8,8,7,10.0
R85,7,8,28,11,16.0
R103,8,8,33,10,12.0
R27,8,32,32,6,6.25
R155,8,76,1,46,58.0
R44,8,8,77,20,25.75
R24,8,28,7,12,11.25
R143,8,8,32,6,6.75
R191,8,32,28,7,7.75
R123,8,28,7,11,12.35
R195,8,8,32,5,7.5
R38,8,8,8,15,10.25
R93,8,8,32,7,9.75
R53,9,8,8,4,5.25
R167,9,24,28,3,8.25
R29,9,32,6,14,22.8
R101,9,8,8,14,9.25
R205,9,32,8,6,9.25
R107,9,32,33,7,11.75
R1,9,5,6,10,9.5
R201,9,7,77,11,13.0
R19,9,8,8,5,5.5
R145,9,76,8,26,57.4
R3,9,8,8,4,7.75
R118,9,28,8,12,13.2
R12,9,76,7,22,48.75
R56,9,8,8,2,8.75
R10,9,8,33,15,18.9
R83,9,8,8,3,7.25
R190,9,8,41,20,24.5
R193,9,8,8,5,11.75
R197,9,76,6,26,50.2
R5,10,32,28,4,8.75
R33,10,76,22,18,46.3
R159,10,31,6,17,20.5
R116,10,8,24,3,5.75
R42,10,32,8,10,10.25
R88,10,56,56,3,3.75
R106,10,8,28,9,11.5
R81,10,8,28,5,10.75
R79,10,8,28,8,8.75
R49,10,8,32,7,11.75
R86,10,76,24,23,50.0
R129,10,28,41,16,19.25
R178,10,76,32,26,48.75
R69,10,32,8,5,6.0
R144,10,16,77,17,13.25
R52,10,28,28,2,4.0
R64,10,8,24,10,12.0
