ID,Time,Pickup,Dropoff,Duration,Fare
R221,0,32,28,5,7.0
R465,0,8,32,5,6.0
R267,0,28,8,7,6.75
R109,0,56,32,23,41.8
R600,0,32,28,5,8.0
R107,0,32,32,11,10.0
R285,0,8,32,12,9.5
R49,0,8,8,6,9.25
R212,0,7,8,6,10.06
R360,0,8,8,6,6.25
R309,0,76,28,38,59.4
R200,0,8,28,6,5.75
R338,0,28,32,9,8.75
R81,0,6,23,29,23.25
R319,0,6,8,12,13.75
R320,0,32,32,10,7.75
R265,0,32,76,24,53.25
R256,0,77,77,1,3.25
R540,0,6,77,21,19.25
R529,0,28,36,12,3.25
R504,0,8,32,11,11.0
R144,1,76,76,1,3.5
R494,1,32,28,3,5.25
R460,1,76,32,50,63.6
R293,1,8,32,3,5.0
R528,1,32,76,42,47.0
R50,1,8,8,5,5.5
R52,1,28,28,5,5.75
R96,1,32,32,13,12.25
R450,1,8,32,9,9.25
R208,1,33,28,10,10.0
R437,1,32,8,4,4.5
R6,1,76,32,46,60.6
R347,1,32,32,9,12.25
R581,1,76,8,61,64.0
R152,1,76,8,58,67.2
R154,1,36,28,18,19.0
R326,1,32,38,17,19.25
R432,1,28,23,16,25.9
R470,1,56,28,22,37.0
R199,1,28,7,20,17.6
R279,1,32,8,13,11.5
R461,1,8,32,10,12.25
R611,1,32,28,6,8.75
R125,1,32,32,11,8.5
R610,1,56,8,24,47.1
R500,1,8,8,1,4.75
R244,1,28,28,1,3.75
R118,1,32,8,8,10.5
R575,1,76,33,58,71.5
R394,1,8,8,6,10.75
R427,1,33,28,7,7.5
R388,1,70,29,34,3.25
R390,1,8,28,11,10.75
R323,1,76,32,47,58.8
R281,2,8,32,13,11.21
R155,2,8,8,6,5.5
R134,2,28,32,5,5.75
R444,2,32,28,6,9.75
R531,2,8,32,11,12.0
R530,2,76,8,81,72.0
R82,2,28,32,4,8.75
R220,2,28,32,8,7.75
R103,2,33,32,15,10.0
R297,2,35,28,17,17.75
R291,2,8,8,7,7.5
R305,2,76,8,43,91.65
R111,2,28,8,14,12.25
R241,2,28,8,20,11.25
R269,2,8,28,12,10.0
R94,2,32,33,7,7.0
R95,2,32,8,11,9.5
R112,2,8,8,7,6.75
R520,2,28,8,20,11.5
R75,2,32,52,27,53.0
R315,2,8,8,6,8.75
R489,2,8,28,11,10.0
R607,2,28,28,9,9.75
R30,2,76,6,28,49.2
R379,2,32,8,13,12.75
R377,2,32,8,18,12.45
R473,2,32,8,6,8.9
R545,2,8,8,8,9.5
R410,2,28,32,10,10.25
R459,2,8,8,7,8.75
R370,2,8,32,10,8.0
R48,2,8,8,3,4.75
R51,2,32,8,10,16.25
R458,2,32,28,8,10.75
R467,2,8,8,4,5.0
R366,2,32,32,25,19.5
R597,2,56,8,26,43.6
R184,2,8,76,30,56.35
R362,2,4,3,20,13.0
R141,2,76,8,72,63.75
R352,2,32,8,9,10.5
R343,2,32,6,15,14.75
R452,2,32,32,2,4.25
R69,2,59,59,1,3.25
R441,2,8,32,5,6.25
R3,2,32,6,15,17.0
R566,3,8,8,9,7.5
R175,3,32,8,6,6.0
R28,3,8,8,12,11.25
R557,3,10,76,10,12.75
R549,3,8,32,6,5.75
R464,3,8,32,10,10.5
R430,3,32,8,12,8.25
R22,3,32,28,8,7.25
R434,3,32,8,5,8.25
R231,3,2,8,35,31.0
R235,3,32,32,7,8.5
R238,3,8,8,1,3.25
R27,3,32,8,9,9.0
R270,3,77,77,8,9.75
R325,3,49,53,8,3.25
R277,3,56,32,26,46.65
R156,3,8,8,4,5.75
R486,3,59,59,1,3.25
R583,3,76,32,38,89.1
R174,3,32,33,10,18.7
R481,3,8,32,9,8.75
R353,3,14,6,23,16.75
R275,3,8,32,2,7.0
R476,3,2,8,20,25.5
R368,3,32,8,10,7.75
R300,3,8,8,8,7.25
R101,3,76,8,49,61.8
R598,3,32,32,6,8.5
R44,3,33,56,23,34.5
R196,3,8,32,5,5.75
R324,3,32,33,11,12.0
R216,3,33,28,9,9.0
R541,3,32,32,3,4.75
R384,3,8,8,9,10.0
R547,4,8,76,42,49.75
R210,4,31,28,8,7.5
R214,4,28,8,15,11.0
R535,4,8,2,30,31.5
R176,4,28,8,10,9.5
R201,4,28,32,7,8.0
R205,4,76,32,32,57.79
R213,4,71,33,14,25.0
R0,4,32,32,6,9.25
R255,4,11,2,33,25.5
R442,4,8,28,14,12.75
R440,4,8,32,9,9.5
R439,4,33,76,37,63.44
R454,4,7,7,10,10.75
R456,4,8,32,6,11.75
R403,4,32,32,9,7.0
R469,4,28,28,4,6.25
R380,4,32,8,15,10.5
R372,4,28,23,15,12.75
R475,4,35,29,23,26.5
R482,4,32,7,16,16.2
R333,4,32,32,1,14.25
R331,4,32,8,5,8.0
R329,4,28,28,1,3.75
R490,4,8,8,5,7.5
R321,4,32,32,6,7.3
R318,4,8,8,2,4.5
R314,4,8,8,9,7.5
R492,4,32,7,5,6.75
R302,4,8,8,9,13.75
R301,4,32,32,10,6.5
R493,4,76,8,43,24.25
R282,4,6,28,15,24.38
R497,4,41,33,21,19.0
R268,4,32,8,11,8.0
R228,4,8,32,7,6.06
R172,4,32,43,23,29.25
R222,4,32,32,8,10.0
R599,4,8,32,7,7.75
R121,4,32,8,7,5.75
R551,4,28,8,10,9.0
R31,4,32,33,6,8.0
R159,4,32,76,36,52.04
R603,4,8,8,1,3.25
R13,4,16,16,1,3.25
R593,4,28,24,13,15.52
R137,4,32,32,6,5.75
R80,4,32,28,5,5.5
R59,4,16,14,4,5.75
R561,4,28,32,5,7.5
R135,4,28,8,23,12.5
R83,4,8,32,5,8.0
R117,4,72,72,10,6.5
R601,4,33,33,6,8.0
R554,4,28,28,3,4.75
R58,4,8,32,11,8.5
R46,4,8,76,39,46.0
R25,5,8,76,35,44.75
R17,5,76,32,44,60.9
R307,5,33,8,13,13.25
R580,5,76,32,34,60.9
R453,5,76,32,49,62.4
R558,5,8,8,5,5.25
R303,5,32,28,7,9.75
R506,5,28,28,3,8.5
R577,5,8,32,9,9.75
R420,5,2,2,11,10.75
R519,5,76,28,45,55.0
R567,5,76,28,39,53.76
R560,5,8,76,27,57.65
R522,5,8,28,7,7.5
R496,5,6,3,10,10.75
R579,5,8,76,1,3.25
R132,5,32,8,5,7.8
R15,5,32,8,3,5.75
R92,5,42,41,10,14.5
R93,5,32,28,6,6.75
R258,5,76,22,21,48.44
R77,5,8,76,26,56.35
R544,5,32,56,41,37.25
R209,5,3,3,7,6.75
R602,5,32,32,4,6.0
R163,5,66,8,36,36.5
R2,5,7,32,18,16.0
R182,5,33,76,42,62.1
R361,5,32,28,6,9.25
R616,5,28,28,7,9.5
R594,5,32,7,13,13.5
R336,5,8,32,7,6.75
R485,5,28,28,4,7.75
R468,5,76,32,40,61.8
R364,5,28,8,17,9.75
R40,5,76,8,68,66.9
R438,5,22,8,42,25.0
R479,5,8,8,7,9.75
R576,6,38,24,24,22.75
R102,6,8,32,15,12.75
R20,6,32,32,11,8.5
R105,6,28,8,21,12.25
R363,6,76,8,55,64.8
R271,6,32,32,1,4.25
R53,6,32,32,3,4.5
R356,6,8,8,8,9.5
R292,6,8,8,6,6.25
R480,6,28,32,9,7.0
R98,6,14,8,29,26.5
R351,6,76,32,53,66.3
R350,6,32,76,28,53.2
R381,6,8,8,8,9.75
R36,6,8,32,10,7.75
R294,6,32,33,14,20.15
R405,6,8,8,3,6.0
R299,6,76,6,28,49.8
R487,6,6,77,15,3.25
R33,6,32,8,9,9.0
R29,6,8,8,8,7.25
R312,6,8,8,5,5.75
R85,6,46,28,25,34.25
R288,6,8,33,14,14.2
R398,6,76,8,47,61.5
R88,6,32,32,10,11.75
R233,6,32,8,6,10.0
R526,6,32,32,4,8.0
R193,6,28,56,30,29.75
R192,6,32,8,3,6.5
R162,6,8,32,6,5.75
R151,6,8,32,8,7.25
R128,6,32,28,6,10.5
R515,6,8,32,7,8.5
R203,6,59,59,1,3.25
R223,6,28,28,1,3.5
R539,6,32,8,6,6.5
R165,6,28,32,4,6.0
R142,6,33,76,40,65.7
R157,6,76,32,55,63.3
R424,6,32,32,5,9.0
R179,6,8,32,7,9.0
R11,6,32,32,6,6.33
R161,6,32,32,1,64.0
R555,6,8,32,8,9.0
R615,6,8,32,7,7.25
R217,6,28,8,10,10.0
R170,6,32,32,3,4.75
R447,6,28,8,10,10.25
R386,7,8,8,5,6.88
R533,7,32,33,13,12.75
R591,7,32,8,5,5.75
R298,7,76,32,40,56.75
R97,7,32,8,7,9.0
R344,7,8,8,7,6.25
R79,7,28,32,4,7.5
R536,7,8,33,10,13.0
R385,7,8,6,14,20.41
R399,7,76,6,28,41.5
R78,7,32,8,10,8.0
R139,7,28,28,1,3.25
R383,7,32,8,15,10.5
R60,7,32,32,4,5.5
R348,7,6,6,12,8.25
R503,7,28,8,9,8.25
R369,7,8,8,1,11.25
R416,7,32,8,8,11.25
R553,7,28,32,9,7.25
R8,7,32,8,22,12.25
R415,7,71,28,19,29.5
R414,7,28,32,7,8.5
R167,7,27,32,22,3.25
R412,7,28,8,14,12.0
R71,7,8,8,4,9.75
R252,7,28,32,6,7.75
R546,7,8,8,13,9.5
R357,7,32,56,26,40.75
R276,7,32,32,5,8.25
R242,7,32,28,3,7.0
R283,7,2,6,21,21.0
R565,7,32,76,30,51.25
R124,7,32,8,10,9.75
R234,7,28,76,48,61.88
R618,7,32,8,2,4.25
R147,7,8,8,1,3.5
R7,8,22,8,70,31.5
R123,8,3,32,12,25.4
R158,8,32,8,6,6.0
R197,8,8,28,7,8.75
R65,8,32,6,11,19.2
R592,8,28,24,9,10.25
R4,8,8,8,38,19.5
R188,8,32,8,9,9.75
