ID,Time,Pickup,Dropoff,Duration,Fare
R305,0,8,76,45,55.0
R28,0,56,32,34,46.2
R29,0,28,8,15,10.25
R630,0,32,28,11,7.0
R178,0,8,6,13,13.75
R705,0,33,76,61,62.39
R794,0,32,8,10,11.0
R379,0,28,8,6,6.5
R152,0,77,77,1,8.75
R401,0,28,8,16,11.75
R402,0,28,32,9,7.0
R535,0,32,28,6,6.25
R235,0,32,4,23,23.0
R815,0,16,28,31,21.25
R668,0,8,8,9,9.5
R455,0,28,33,19,17.3
R458,0,8,7,26,15.75
R825,0,12,12,1,3.25
R828,0,41,43,18,14.25
R832,0,32,8,7,9.5
R341,0,32,32,4,4.5
R721,0,33,8,16,12.0
R704,0,32,32,2,5.75
R281,0,8,32,19,13.5
R604,0,32,28,16,11.5
R225,0,8,32,13,9.0
R766,0,8,32,8,7.75
R220,0,8,28,15,13.0
R257,0,32,28,6,7.0
R269,0,8,76,49,61.6
R589,0,33,32,8,9.0
R854,0,33,56,41,36.5
R512,0,28,32,5,7.5
R204,0,8,8,3,4.5
R418,1,32,32,7,7.5
R119,1,8,8,5,5.5
R308,1,32,7,20,12.25
R200,1,32,8,10,7.5
R442,1,28,76,51,53.5
R357,1,8,28,7,6.5
R417,1,8,6,19,15.0
R712,1,33,28,16,12.25
R338,1,32,32,9,10.5
R463,1,32,32,1,3.25
R465,1,6,6,5,10.0
R243,1,28,8,10,10.75
R236,1,32,32,9,9.0
R647,1,8,8,14,13.25
R311,1,8,8,7,8.75
R810,1,32,32,5,6.25
R410,1,32,8,7,6.5
R405,1,8,32,11,10.5
R498,1,76,32,57,49.5
R171,1,32,8,8,9.0
R370,1,8,8,14,10.5
R168,1,2,13,14,12.0
R700,1,76,6,67,48.25
R294,1,8,3,9,17.7
R388,1,32,28,5,6.3
R737,1,22,2,1,10.0
R150,1,32,8,8,9.25
R687,1,76,32,79,88.5
R144,1,32,32,3,6.75
R320,1,32,71,36,30.5
R307,1,32,77,24,26.25
R212,1,28,32,9,9.25
R403,1,28,32,4,6.0
R299,1,32,32,3,4.5
R194,1,8,8,1,5.25
R673,1,28,32,8,7.0
R31,1,8,28,13,12.5
R858,1,32,28,4,5.46
R859,1,8,28,27,17.4
R590,1,8,8,4,6.75
R15,1,28,8,3,7.5
R587,1,32,8,7,7.75
R601,1,28,7,25,14.25
R632,1,8,7,15,11.25
R837,1,7,32,14,10.5
R836,1,56,56,54,35.0
R584,1,76,32,57,59.1
R540,1,76,76,1,9.25
R633,1,32,32,3,4.25
R42,1,76,8,59,53.0
R849,1,33,32,21,15.25
R41,1,8,8,8,8.4
R67,1,32,28,4,5.0
R550,1,32,8,5,7.75
R424,2,8,32,10,9.5
R528,2,76,32,61,69.23
R678,2,32,32,2,6.25
R523,2,8,28,10,7.0
R813,2,32,8,8,8.7
R123,2,28,28,45,21.25
R551,2,8,8,5,7.75
R367,2,33,32,18,18.6
R847,2,11,16,25,12.75
R163,2,32,32,5,5.5
R166,2,28,8,11,11.75
R842,2,8,28,7,6.25
R556,2,8,28,27,13.25
R139,2,8,4,34,32.4
R636,2,76,8,54,56.5
R376,2,28,8,9,12.75
R685,2,32,8,8,24.31
R393,2,32,28,8,8.75
R148,2,32,8,7,7.5
R264,2,33,56,56,43.9
R511,2,32,32,3,6.0
R531,2,32,32,8,9.25
R157,2,28,7,20,17.7
R234,2,56,7,34,53.2
R226,2,76,8,57,59.5
R606,2,32,33,9,16.7
R310,2,2,2,1,4.75
R648,2,32,32,7,9.0
R111,2,28,32,9,7.5
R580,2,32,32,6,9.75
R625,2,32,8,10,10.5
R609,2,8,7,16,15.25
R75,2,32,28,6,9.25
R504,2,32,33,7,10.75
R852,2,32,8,5,5.5
R279,2,32,28,3,5.25
R642,2,8,8,7,6.25
R453,2,32,32,3,7.5
R560,2,28,32,7,9.5
R58,2,33,76,57,52.75
R105,2,8,8,10,10.25
R248,2,33,32,6,10.0
R72,2,32,8,10,11.75
R706,2,32,32,2,7.25
R582,2,28,8,5,8.25
R353,2,32,8,7,6.25
R345,2,8,33,21,13.5
R726,2,8,41,18,21.25
R799,3,32,8,9,12.0
R735,3,28,8,13,11.25
R20,3,8,28,12,11.0
R380,3,24,24,10,10.5
R559,3,32,8,13,11.5
R22,3,8,8,13,9.75
R701,3,6,7,5,5.75
R702,3,8,8,4,6.5
R745,3,33,32,8,12.25
R323,3,32,76,57,60.6
R37,3,41,41,1,45.9
R188,3,32,32,7,8.75
R334,3,32,6,30,25.3
R368,3,76,8,58,61.3
R628,3,8,28,22,13.0
R365,3,32,32,10,11.75
R175,3,32,8,7,6.75
R355,3,8,8,3,6.87
R318,3,32,28,3,4.75
R215,3,28,28,10,8.75
R534,3,32,8,8,6.75
R591,3,32,32,14,8.75
R658,3,32,6,18,18.0
R59,3,8,6,37,26.4
R823,3,32,32,6,7.5
R459,3,8,8,7,6.0
R97,3,33,32,21,18.0
R638,3,32,6,32,22.19
R62,3,32,28,10,7.25
R514,3,8,32,17,15.9
R92,3,8,76,51,55.5
R107,3,32,8,13,9.75
R469,3,32,29,23,18.25
R89,3,32,32,4,4.75
R470,3,32,32,7,12.0
R652,3,32,32,3,6.0
R763,3,8,32,11,8.5
R481,3,32,8,13,9.5
