ID,Time,Pickup,Dropoff,Duration,Fare
R112,0,8,76,30,51.7
R219,0,33,76,34,67.0
R173,0,32,76,59,49.75
R11,0,28,76,23,51.25
R184,0,8,33,16,15.6
R34,0,32,32,4,10.25
R19,0,33,56,20,37.2
R83,0,28,32,3,4.75
R194,0,32,28,5,6.0
R78,0,15,19,9,8.5
R210,0,8,8,10,7.75
R220,0,32,33,9,11.75
R168,0,32,56,23,41.8
R18,0,8,32,9,11.75
R62,1,28,8,6,6.75
R35,1,8,7,10,10.0
R165,1,28,32,4,5.0
R15,1,28,32,3,8.75
R122,1,32,28,5,8.0
R32,1,76,13,28,23.5
R129,1,28,32,5,5.5
R12,1,2,32,48,33.5
R53,1,8,11,58,59.69
R222,1,28,8,10,12.0
R98,1,65,33,30,3.25
R56,2,6,6,5,10.75
R57,2,8,33,17,16.8
R115,2,32,32,8,8.7
R44,2,7,8,16,16.68
R113,2,32,33,8,12.5
R139,2,22,8,12,15.5
R208,2,8,8,6,5.5
R24,2,76,1,56,57.9
R171,2,33,56,21,30.32
R67,2,28,32,6,6.25
R182,2,16,16,1,3.25
R227,2,33,76,36,62.5
R90,2,32,76,29,51.4
R88,2,32,28,8,7.5
R107,3,7,76,34,39.75
R130,3,8,32,2,9.5
R64,3,32,32,2,4.25
R100,3,71,32,28,32.75
R71,3,8,32,8,8.0
R75,3,32,32,11,12.25
R52,3,28,32,6,9.0
R81,3,8,8,6,8.5
R110,3,8,28,11,9.0
R131,3,8,32,3,4.75
R84,3,28,8,5,8.75
R135,3,28,8,10,9.0
R177,3,32,76,56,54.5
R213,3,8,28,10,12.6
R38,3,28,32,7,6.75
R174,3,28,8,12,14.5
R154,4,8,32,11,9.0
R93,4,77,77,9,11.5
R212,4,32,76,33,46.25
R72,4,8,32,9,8.0
R178,4,76,76,7,5.75
R149,4,53,49,8,3.25
R102,4,28,8,11,14.0
R103,4,76,76,1,35.0
R196,4,6,32,12,16.5
R106,4,8,32,8,7.0
R27,4,76,76,1,3.25
R166,4,28,32,6,6.0
R30,4,8,8,5,5.75
R162,4,28,28,5,5.75
R82,4,8,32,8,10.0
R36,4,28,28,7,7.0
R157,4,8,8,3,5.0
R148,4,2,23,40,30.0
R23,4,8,76,57,53.25
R203,5,28,28,12,12.25
R199,5,8,32,12,11.5
R195,5,38,56,29,28.9
R144,5,32,32,1,8.75
R92,5,32,56,20,35.0
R190,5,8,8,1,12.75
R141,5,8,76,57,48.0
R133,5,6,32,10,15.22
R158,5,8,8,11,8.0
R191,5,32,8,3,8.0
R147,5,42,60,15,22.42
R0,5,8,76,31,54.75
R63,5,76,8,95,80.94
R28,5,76,76,12,19.0
R22,5,32,43,30,30.75
R80,5,32,33,10,8.75
R16,5,76,28,12,12.5
R25,5,8,28,15,13.0
R55,6,6,76,44,47.15
R48,6,8,32,10,9.75
R59,6,7,22,10,10.0
R189,6,76,10,1,3.25
R114,6,2,4,2,4.0
R9,6,76,8,72,64.2
R7,6,8,8,10,13.25
R169,6,6,28,7,7.25
R50,6,8,76,55,48.75
R43,6,8,76,30,52.9
R26,6,32,32,5,10.75
R126,6,8,32,29,8.75
R181,6,8,32,7,6.5
R150,6,28,28,1,5.75
R120,6,8,76,56,65.33
R205,6,28,24,9,10.75
R216,6,3,28,31,34.8
R175,6,8,28,10,10.5
R54,7,28,8,10,9.0
R13,7,8,28,7,7.0
R183,7,77,8,13,18.5
R47,7,6,76,49,38.25
R161,7,32,32,6,10.25
R46,7,2,2,9,8.25
R146,7,32,33,14,15.0
R41,7,28,32,4,5.5
R40,7,6,32,13,20.5
R39,7,33,56,24,33.0
R31,7,8,76,58,59.69
R21,7,7,8,6,8.25
R217,7,28,28,8,7.5
R160,7,6,56,36,47.8
R193,7,8,32,6,6.5
R211,7,8,32,7,8.5
R201,7,32,33,8,8.0
R188,7,6,32,12,17.5
R202,7,3,77,5,9.5
R96,7,8,8,8,9.0
R118,7,32,8,4,5.75
R163,8,28,28,2,4.5
R223,8,7,16,14,12.5
R10,8,28,8,10,8.75
R74,8,53,32,42,41.5
R108,8,8,76,27,49.0
R105,8,76,33,63,66.0
R29,8,8,8,9,7.75
R33,8,76,8,11,13.8
R68,8,28,8,9,10.0
R91,8,22,22,1,4.25
R121,8,8,32,7,9.75
R58,8,28,32,6,8.75
R164,8,32,76,58,56.4
R1,9,32,32,7,10.35
R200,9,32,8,3,7.5
R119,9,32,32,4,5.25
R70,9,32,8,6,8.5
R214,9,8,28,10,8.5
R172,9,28,32,7,9.5
R207,9,8,76,29,53.85
R134,9,33,35,5,7.0
R60,9,8,76,58,46.5
R17,9,3,8,13,23.12
R117,9,32,28,8,10.75
R73,9,28,36,10,16.5
R3,10,32,8,4,7.6
R6,10,8,32,7,9.5
R187,10,8,8,1,3.75
R185,10,77,8,30,23.25
R86,10,8,76,53,56.4
R42,10,8,8,1,3.5
R156,10,32,32,10,13.0
R87,10,6,32,7,9.25
R65,10,28,32,4,5.5
R109,10,5,32,26,17.75
R136,10,8,32,5,5.75
R45,10,46,8,43,39.0
R111,10,8,32,7,9.5
R218,10,6,76,31,42.7
R151,10,32,8,6,10.25
R206,11,8,32,6,10.0
R155,11,33,76,60,63.9
R209,11,8,32,26,16.39
R89,11,32,8,9,10.25
R77,11,32,76,59,49.0
R76,11,32,28,6,8.5
R94,11,32,32,6,10.25
R4,11,6,28,16,20.25
R5,11,6,76,35,39.0
R101,11,76,32,95,87.9
R153,11,2,2,1,4.5
R186,11,8,8,6,8.0
R143,11,8,8,2,4.5
R138,11,32,32,6,5.75
R132,11,49,28,37,3.25
R224,11,76,76,14,24.3
R125,11,32,33,6,7.5
R128,11,25,25,1,3.25
R180,11,8,76,63,54.34
R127,12,8,76,61,52.0
R79,12,32,33,9,12.0
R123,12,28,28,1,4.25
R97,12,8,33,9,12.19
R152,12,28,8,9,9.75
R66,12,56,6,55,58.94
R145,12,32,8,11,9.5
R61,12,28,8,8,8.0
